actual,predicted,race,age,priors_count,charge_degree,days_in_jail
1,1,African-American,25,3,F,30
1,0,African-American,22,1,M,0
0,1,Caucasian,34,0,F,0
0,0,Caucasian,41,2,M,15
1,1,African-American,19,5,F,45
0,1,African-American,28,1,M,0
0,0,Caucasian,52,0,F,0
1,0,Caucasian,23,3,M,0
1,1,African-American,31,4,F,60
0,0,Caucasian,45,1,M,0
1,1,African-American,20,2,M,20
0,1,African-American,27,0,F,0
0,0,Caucasian,38,1,M,0
1,0,African-American,24,3,F,0
0,0,Caucasian,50,0,M,0
1,1,African-American,21,4,F,35
0,1,Caucasian,33,0,M,0
1,0,African-American,26,2,M,0
0,0,Caucasian,44,1,F,0
1,1,African-American,29,5,M,50
