actual,predicted,confidence,segment
0,0,0.92,normal_lighting
0,0,0.88,normal_lighting
0,0,0.95,normal_lighting
0,0,0.91,normal_lighting
0,0,0.89,normal_lighting
0,0,0.93,normal_lighting
0,0,0.85,normal_lighting
0,0,0.97,normal_lighting
0,0,0.86,normal_lighting
0,0,0.90,normal_lighting
0,0,0.94,normal_lighting
0,0,0.88,normal_lighting
0,0,0.96,normal_lighting
0,0,0.87,normal_lighting
0,0,0.92,normal_lighting
0,0,0.91,normal_lighting
0,0,0.89,normal_lighting
0,0,0.95,normal_lighting
0,0,0.90,normal_lighting
0,0,0.93,normal_lighting
0,0,0.98,normal_lighting
0,0,0.86,normal_lighting
0,0,0.92,normal_lighting
0,0,0.87,normal_lighting
0,0,0.94,normal_lighting
0,0,0.91,normal_lighting
0,0,0.89,normal_lighting
0,0,0.93,normal_lighting
0,0,0.85,normal_lighting
0,0,0.97,normal_lighting
0,0,0.86,normal_lighting
0,0,0.90,normal_lighting
0,0,0.94,normal_lighting
0,0,0.88,normal_lighting
0,0,0.96,normal_lighting
0,0,0.87,normal_lighting
0,0,0.92,normal_lighting
0,0,0.91,normal_lighting
0,0,0.89,normal_lighting
0,0,0.95,normal_lighting
0,1,0.49,low_lighting
0,1,0.48,low_lighting
0,1,0.51,low_lighting
0,1,0.47,low_lighting
0,1,0.50,low_lighting
1,0,0.42,low_lighting
1,0,0.39,low_lighting
1,0,0.45,low_lighting
1,0,0.41,low_lighting
1,0,0.44,low_lighting
1,0,0.38,low_lighting
1,0,0.43,low_lighting
1,0,0.40,low_lighting
1,0,0.46,low_lighting
1,0,0.37,low_lighting
1,1,0.65,normal_lighting
1,1,0.68,normal_lighting
1,1,0.62,normal_lighting
1,1,0.69,normal_lighting
1,1,0.64,normal_lighting
